"idhod","hodnota","stapro_kod","casz_cis","casz_kod","cznace_cis","cznace_kod","mesic","rok","mesicz","rokz","stapro_txt","casz_txt","cznace_txt"
"1266016685","92.7","5249","7626","C","5104","05","4","2010","4","2009","Index průmyslové produkce","stejné období předchozího roku","Těžba a úprava černého a hnědého uhlí"
"1265237719","108.2","5249","7626","C","5104","22","4","2010","4","2009","Index průmyslové produkce","stejné období předchozího roku","Výroba pryžových a plastových výrobků"
"1265822167","90.5","5249","7626","C","5104","33","4","2010","4","2009","Index průmyslové produkce","stejné období předchozího roku","Opravy a instalace strojů a zařízení"
"1265432400","120.2","5249","7626","C","5104","26","4","2010","4","2009","Index průmyslové produkce","stejné období předchozího roku","Výroba počítačů, elektronických a optických přístrojů a zařízení"
"1266211493","122.2","5249","7626","C","5104","27","4","2010","4","2009","Index průmyslové produkce","stejné období předchozího roku","Výroba elektrických zařízení"
"1266601931",,"5249","7626","C","5104","12","4","2010","4","2009","Index průmyslové produkce","stejné období předchozího roku","Výroba tabákových výrobků"
"1266017076","105","5249","7626","C","5104","13","4","2010","4","2009","Index průmyslové produkce","stejné období předchozího roku","Výroba textilií"
"1265238739","99.1","5249","7626","C","5104","18","4","2010","4","2009","Index průmyslové produkce","stejné období předchozího roku","Tisk a rozmnožování nahraných nosičů"
"1266600489","100","5249","7626","C","5104","20","4","2010","4","2009","Index průmyslové produkce","stejné období předchozího roku","Výroba chemických látek a chemických přípravků"
"1266212089","104.2","5249","7626","C","5104","14","4","2010","4","2009","Index průmyslové produkce","stejné období předchozího roku","Výroba oděvů"
"1266406759","108.8","5249","7626","C","5104","16","4","2010","4","2009","Index průmyslové produkce","stejné období předchozího roku","Zpracování dřeva, výroba dřevěných, korkových, proutěných a slaměných výrobků, kromě nábytku"
"1266016121","99.5","5249","7626","C","5104","10","4","2010","4","2009","Index průmyslové produkce","stejné období předchozího roku","Výroba potravinářských výrobků"
"1266600490",,"5249","7626","C","5104","07","4","2010","4","2009","Index průmyslové produkce","stejné období předchozího roku","Těžba a úprava rud"
"1266405822","119.4","5249","7626","C","5104","08","4","2010","4","2009","Index průmyslové produkce","stejné období předchozího roku","Ostatní těžba a dobývání"
"1266600655","121.4","5249","7626","C","5104","29","4","2010","4","2009","Index průmyslové produkce","stejné období předchozího roku","Výroba motorových vozidel (kromě motocyklů), přívěsů a návěsů"
"1266016232","80.9","5249","7626","C","5104","11","4","2010","4","2009","Index průmyslové produkce","stejné období předchozího roku","Výroba nápojů"
"1266405823","71.6","5249","7626","C","5104","09","4","2010","4","2009","Index průmyslové produkce","stejné období předchozího roku","Podpůrné činnosti při těžbě"
"1265822117","96.5","5249","7626","C","5104","15","4","2010","4","2009","Index průmyslové produkce","stejné období předchozího roku","Výroba usní a souvisejících výrobků"
"1266600547","154.1","5249","7626","C","5104","24","4","2010","4","2009","Index průmyslové produkce","stejné období předchozího roku","Výroba základních kovů, hutní zpracování kovů; slévárenství"
"1265822912","92.9","5249","7626","C","5104","31","4","2010","4","2009","Index průmyslové produkce","stejné období předchozího roku","Výroba nábytku"
"1265627842","95.6","5249","7626","C","5104","23","4","2010","4","2009","Index průmyslové produkce","stejné období předchozího roku","Výroba ostatních nekovových minerálních výrobků"
"1266407159","109.7","5249","7626","C","5104","35","4","2010","4","2009","Index průmyslové produkce","stejné období předchozího roku","Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu"
"1265237720","108.7","5249","7626","C","5104","28","4","2010","4","2009","Index průmyslové produkce","stejné období předchozího roku","Výroba strojů a zařízení j. n."
"1266600544",,"5249","7626","C","5104","06","4","2010","4","2009","Index průmyslové produkce","stejné období předchozího roku","Těžba ropy a zemního plynu"
"1266600491","117.4","5249","7626","C","5104","25","4","2010","4","2009","Index průmyslové produkce","stejné období předchozího roku","Výroba kovových konstrukcí a kovodělných výrobků, kromě strojů a zařízení"
"1265822168","98","5249","7626","C","5104","30","4","2010","4","2009","Index průmyslové produkce","stejné období předchozího roku","Výroba ostatních dopravních prostředků a zařízení"
"1265822917","107.2","5249","7626","C","5104","17","4","2010","4","2009","Index průmyslové produkce","stejné období předchozího roku","Výroba papíru a výrobků z papíru"
"1266405906","108.8","5249","7626","C","5724","05350001","4","2010","4","2009","Index průmyslové produkce","stejné období předchozího roku","Průmysl celkem (B+C+D)"
"1265822915","117.8","5249","7626","C","5104","19","4","2010","4","2009","Index průmyslové produkce","stejné období předchozího roku","Výroba koksu a rafinovaných ropných produktů"
"1265432399","106.7","5249","7626","C","5104","32","4","2010","4","2009","Index průmyslové produkce","stejné období předchozího roku","Ostatní zpracovatelský průmysl"
"1266017075","132.6","5249","7626","C","5104","21","4","2010","4","2009","Index průmyslové produkce","stejné období předchozího roku","Výroba základních farmaceutických výrobků a farmaceutických přípravků"
"1265238345","106.7","5249","7626","C","5104","05","10","2010","10","2009","Index průmyslové produkce","stejné období předchozího roku","Těžba a úprava černého a hnědého uhlí"
"1266211554","97.9","5249","7626","C","5104","22","10","2010","10","2009","Index průmyslové produkce","stejné období předchozího roku","Výroba pryžových a plastových výrobků"
