"idhod","hodnota","stapro_kod","ucel_tep","ucel_cis","ucel_kod","casz_kod","mesic","rok","obdobiod","obdobido","bazobdobiod","bazobdobido","ucel_txt","casz_txt"
"781212271","105.2","6134",,,,"Z","5","2018","2018-05-01","2018-05-31","2015-01-01","2015-12-31",,"průměr bazického roku"
"781212273","106","6134","ECOICOP","6000","01","Z","5","2018","2018-05-01","2018-05-31","2015-01-01","2015-12-31","Potraviny a nealkoholické nápoje","průměr bazického roku"
"781212275","109.7","6134","ECOICOP","6000","02","Z","5","2018","2018-05-01","2018-05-31","2015-01-01","2015-12-31","Alkoholické nápoje, tabák a narkotika","průměr bazického roku"
"781212277","102.9","6134","ECOICOP","6000","03","Z","5","2018","2018-05-01","2018-05-31","2015-01-01","2015-12-31","Odívání a obuv","průměr bazického roku"
"781212279","104.5","6134","ECOICOP","6000","04","Z","5","2018","2018-05-01","2018-05-31","2015-01-01","2015-12-31","Bydlení, voda, energie, paliva","průměr bazického roku"
"781212281","101.3","6134","ECOICOP","6000","05","Z","5","2018","2018-05-01","2018-05-31","2015-01-01","2015-12-31","Bytové vybavení, zařízení domácnosti; opravy","průměr bazického roku"
"781212283","110.6","6134","ECOICOP","6000","06","Z","5","2018","2018-05-01","2018-05-31","2015-01-01","2015-12-31","Zdraví","průměr bazického roku"
"781212285","105","6134","ECOICOP","6000","07","Z","5","2018","2018-05-01","2018-05-31","2015-01-01","2015-12-31","Doprava","průměr bazického roku"
"781212287","97.3","6134","ECOICOP","6000","08","Z","5","2018","2018-05-01","2018-05-31","2015-01-01","2015-12-31","Komunikace","průměr bazického roku"
"781212289","102.1","6134","ECOICOP","6000","09","Z","5","2018","2018-05-01","2018-05-31","2015-01-01","2015-12-31","Rekreace a kultura","průměr bazického roku"
"781212129","103.9","6134","ECOICOP","6000","06","K","5","2018","2017-06-01","2018-05-31","2016-06-01","2017-05-31","Zdraví","stejných 12 měsíců předchozího roku"
"781212130","102.1","6134","ECOICOP","6000","07","K","5","2018","2017-06-01","2018-05-31","2016-06-01","2017-05-31","Doprava","stejných 12 měsíců předchozího roku"
"781212131","98.4","6134","ECOICOP","6000","08","K","5","2018","2017-06-01","2018-05-31","2016-06-01","2017-05-31","Komunikace","stejných 12 měsíců předchozího roku"
"781212132","100.9","6134","ECOICOP","6000","09","K","5","2018","2017-06-01","2018-05-31","2016-06-01","2017-05-31","Rekreace a kultura","stejných 12 měsíců předchozího roku"
"781212133","101.6","6134","ECOICOP","6000","10","K","5","2018","2017-06-01","2018-05-31","2016-06-01","2017-05-31","Vzdělávání","stejných 12 měsíců předchozího roku"
"781212134","104.9","6134","ECOICOP","6000","11","K","5","2018","2017-06-01","2018-05-31","2016-06-01","2017-05-31","Stravování a ubytování","stejných 12 měsíců předchozího roku"
"781212135","101.3","6134","ECOICOP","6000","12","K","5","2018","2017-06-01","2018-05-31","2016-06-01","2017-05-31","Ostatní výrobky a služby","stejných 12 měsíců předchozího roku"
"781212123","102.3","6134",,,,"K","5","2018","2017-06-01","2018-05-31","2016-06-01","2017-05-31",,"stejných 12 měsíců předchozího roku"
"781212124","104.5","6134","ECOICOP","6000","01","K","5","2018","2017-06-01","2018-05-31","2016-06-01","2017-05-31","Potraviny a nealkoholické nápoje","stejných 12 měsíců předchozího roku"
"781212125","102.1","6134","ECOICOP","6000","02","K","5","2018","2017-06-01","2018-05-31","2016-06-01","2017-05-31","Alkoholické nápoje, tabák a narkotika","stejných 12 měsíců předchozího roku"
"781212126","99.7","6134","ECOICOP","6000","03","K","5","2018","2017-06-01","2018-05-31","2016-06-01","2017-05-31","Odívání a obuv","stejných 12 měsíců předchozího roku"
"781212127","102.2","6134","ECOICOP","6000","04","K","5","2018","2017-06-01","2018-05-31","2016-06-01","2017-05-31","Bydlení, voda, energie, paliva","stejných 12 měsíců předchozího roku"
"781212128","100.4","6134","ECOICOP","6000","05","K","5","2018","2017-06-01","2018-05-31","2016-06-01","2017-05-31","Bytové vybavení, zařízení domácnosti; opravy","stejných 12 měsíců předchozího roku"
"781212051","102.2","6134",,,,"C","5","2018","2018-05-01","2018-05-31","2017-05-01","2017-05-31",,"stejné období předchozího roku"
"781212053","102.4","6134","ECOICOP","6000","01","C","5","2018","2018-05-01","2018-05-31","2017-05-01","2017-05-31","Potraviny a nealkoholické nápoje","stejné období předchozího roku"
"781212055","103.6","6134","ECOICOP","6000","02","C","5","2018","2018-05-01","2018-05-31","2017-05-01","2017-05-31","Alkoholické nápoje, tabák a narkotika","stejné období předchozího roku"
"781212057","98.6","6134","ECOICOP","6000","03","C","5","2018","2018-05-01","2018-05-31","2017-05-01","2017-05-31","Odívání a obuv","stejné období předchozího roku"
"781212059","102.5","6134","ECOICOP","6000","04","C","5","2018","2018-05-01","2018-05-31","2017-05-01","2017-05-31","Bydlení, voda, energie, paliva","stejné období předchozího roku"
"781212061","101.5","6134","ECOICOP","6000","05","C","5","2018","2018-05-01","2018-05-31","2017-05-01","2017-05-31","Bytové vybavení, zařízení domácnosti; opravy","stejné období předchozího roku"
"781211940","100.5","6134",,,,"B","5","2018","2018-05-01","2018-05-31","2018-04-01","2018-04-30",,"předchozí období"
"781211942","101","6134","ECOICOP","6000","01","B","5","2018","2018-05-01","2018-05-31","2018-04-01","2018-04-30","Potraviny a nealkoholické nápoje","předchozí období"
"781211944","100.4","6134","ECOICOP","6000","02","B","5","2018","2018-05-01","2018-05-31","2018-04-01","2018-04-30","Alkoholické nápoje, tabák a narkotika","předchozí období"
"781211946","99.5","6134","ECOICOP","6000","03","B","5","2018","2018-05-01","2018-05-31","2018-04-01","2018-04-30","Odívání a obuv","předchozí období"
"781211948","100.3","6134","ECOICOP","6000","04","B","5","2018","2018-05-01","2018-05-31","2018-04-01","2018-04-30","Bydlení, voda, energie, paliva","předchozí období"
"781211950","100.3","6134","ECOICOP","6000","05","B","5","2018","2018-05-01","2018-05-31","2018-04-01","2018-04-30","Bytové vybavení, zařízení domácnosti; opravy","předchozí období"
"781211952","100.7","6134","ECOICOP","6000","06","B","5","2018","2018-05-01","2018-05-31","2018-04-01","2018-04-30","Zdraví","předchozí období"
"781211954","101.2","6134","ECOICOP","6000","07","B","5","2018","2018-05-01","2018-05-31","2018-04-01","2018-04-30","Doprava","předchozí období"
"781211956","99.8","6134","ECOICOP","6000","08","B","5","2018","2018-05-01","2018-05-31","2018-04-01","2018-04-30","Komunikace","předchozí období"
"781211958","99.8","6134","ECOICOP","6000","09","B","5","2018","2018-05-01","2018-05-31","2018-04-01","2018-04-30","Rekreace a kultura","předchozí období"
"781211960","104.3","6134","ECOICOP","6000","10","Z","5","2018","2018-05-01","2018-05-31","2015-01-01","2015-12-31","Vzdělávání","průměr bazického roku"
"781211962","110.8","6134","ECOICOP","6000","11","Z","5","2018","2018-05-01","2018-05-31","2015-01-01","2015-12-31","Stravování a ubytování","průměr bazického roku"
"781211964","104.7","6134","ECOICOP","6000","12","Z","5","2018","2018-05-01","2018-05-31","2015-01-01","2015-12-31","Ostatní výrobky a služby","průměr bazického roku"
"781212082","103.9","6134","ECOICOP","6000","06","C","5","2018","2018-05-01","2018-05-31","2017-05-01","2017-05-31","Zdraví","stejné období předchozího roku"
"781212084","102.9","6134","ECOICOP","6000","07","C","5","2018","2018-05-01","2018-05-31","2017-05-01","2017-05-31","Doprava","stejné období předchozího roku"
"781212086","97.8","6134","ECOICOP","6000","08","C","5","2018","2018-05-01","2018-05-31","2017-05-01","2017-05-31","Komunikace","stejné období předchozího roku"
"781212088","100.5","6134","ECOICOP","6000","09","C","5","2018","2018-05-01","2018-05-31","2017-05-01","2017-05-31","Rekreace a kultura","stejné období předchozího roku"
"781212090","101.5","6134","ECOICOP","6000","10","C","5","2018","2018-05-01","2018-05-31","2017-05-01","2017-05-31","Vzdělávání","stejné období předchozího roku"
"781212092","103.6","6134","ECOICOP","6000","11","C","5","2018","2018-05-01","2018-05-31","2017-05-01","2017-05-31","Stravování a ubytování","stejné období předchozího roku"
"781212094","102.5","6134","ECOICOP","6000","12","C","5","2018","2018-05-01","2018-05-31","2017-05-01","2017-05-31","Ostatní výrobky a služby","stejné období předchozího roku"
"781211977","100","6134","ECOICOP","6000","10","B","5","2018","2018-05-01","2018-05-31","2018-04-01","2018-04-30","Vzdělávání","předchozí období"
"781211979","100.5","6134","ECOICOP","6000","11","B","5","2018","2018-05-01","2018-05-31","2018-04-01","2018-04-30","Stravování a ubytování","předchozí období"
"781211981","100.3","6134","ECOICOP","6000","12","B","5","2018","2018-05-01","2018-05-31","2018-04-01","2018-04-30","Ostatní výrobky a služby","předchozí období"
"772355218","102.8","6134","CZCOICOP","5642","04","K","8","2013","2012-09-01","2013-08-31","2011-09-01","2012-08-31","Bydlení, voda, energie, paliva","stejných 12 měsíců předchozího roku"
"772355219","102.5","6134","CZCOICOP","5642","04","K","9","2013","2012-10-01","2013-09-30","2011-10-01","2012-09-30","Bydlení, voda, energie, paliva","stejných 12 měsíců předchozího roku"
"772355220","102.2","6134","CZCOICOP","5642","04","K","10","2013","2012-11-01","2013-10-31","2011-11-01","2012-10-31","Bydlení, voda, energie, paliva","stejných 12 měsíců předchozího roku"
"772355221","102","6134","CZCOICOP","5642","04","K","11","2013","2012-12-01","2013-11-30","2011-12-01","2012-11-30","Bydlení, voda, energie, paliva","stejných 12 měsíců předchozího roku"
"772355223","101.3","6134","CZCOICOP","5642","04","K","1","2014","2013-02-01","2014-01-31","2012-02-01","2013-01-31","Bydlení, voda, energie, paliva","stejných 12 měsíců předchozího roku"
"772355224","100.9","6134","CZCOICOP","5642","04","K","2","2014","2013-03-01","2014-02-28","2012-03-01","2013-02-28","Bydlení, voda, energie, paliva","stejných 12 měsíců předchozího roku"
"772355225","100.1","6134","CZCOICOP","5642","04","K","4","2014","2013-05-01","2014-04-30","2012-05-01","2013-04-30","Bydlení, voda, energie, paliva","stejných 12 měsíců předchozího roku"
"772355226","99.6","6134","CZCOICOP","5642","04","K","6","2014","2013-07-01","2014-06-30","2012-07-01","2013-06-30","Bydlení, voda, energie, paliva","stejných 12 měsíců předchozího roku"
"772355227","99.4","6134","CZCOICOP","5642","04","K","7","2014","2013-08-01","2014-07-31","2012-08-01","2013-07-31","Bydlení, voda, energie, paliva","stejných 12 měsíců předchozího roku"
"772357211","103.2","6134","CZCOICOP","5642","02","K","10","2001","2000-11-01","2001-10-31","1999-11-01","2000-10-31","Alkoholické nápoje, tabák a narkotika","stejných 12 měsíců předchozího roku"
"772357212","103.2","6134","CZCOICOP","5642","02","K","11","2001","2000-12-01","2001-11-30","1999-12-01","2000-11-30","Alkoholické nápoje, tabák a narkotika","stejných 12 měsíců předchozího roku"
"772357213","103.2","6134","CZCOICOP","5642","02","K","1","2002","2001-02-01","2002-01-31","2000-02-01","2001-01-31","Alkoholické nápoje, tabák a narkotika","stejných 12 měsíců předchozího roku"
"772357214","103","6134","CZCOICOP","5642","02","K","2","2002","2001-03-01","2002-02-28","2000-03-01","2001-02-28","Alkoholické nápoje, tabák a narkotika","stejných 12 měsíců předchozího roku"
"772357215","102.8","6134","CZCOICOP","5642","02","K","3","2002","2001-04-01","2002-03-31","2000-04-01","2001-03-31","Alkoholické nápoje, tabák a narkotika","stejných 12 měsíců předchozího roku"
"772357216","102.7","6134","CZCOICOP","5642","02","K","4","2002","2001-05-01","2002-04-30","2000-05-01","2001-04-30","Alkoholické nápoje, tabák a narkotika","stejných 12 měsíců předchozího roku"
"772357217","102.6","6134","CZCOICOP","5642","02","K","5","2002","2001-06-01","2002-05-31","2000-06-01","2001-05-31","Alkoholické nápoje, tabák a narkotika","stejných 12 měsíců předchozího roku"
"772357218","102.4","6134","CZCOICOP","5642","02","K","6","2002","2001-07-01","2002-06-30","2000-07-01","2001-06-30","Alkoholické nápoje, tabák a narkotika","stejných 12 měsíců předchozího roku"
"772357219","102.3","6134","CZCOICOP","5642","02","K","7","2002","2001-08-01","2002-07-31","2000-08-01","2001-07-31","Alkoholické nápoje, tabák a narkotika","stejných 12 měsíců předchozího roku"
"772358080","102.2","6134",,,,"K","7","2005","2004-08-01","2005-07-31","2003-08-01","2004-07-31",,"stejných 12 měsíců předchozího roku"
"772358081","102.1","6134",,,,"K","8","2005","2004-09-01","2005-08-31","2003-09-01","2004-08-31",,"stejných 12 měsíců předchozího roku"
"772358082","102","6134",,,,"K","9","2005","2004-10-01","2005-09-30","2003-10-01","2004-09-30",,"stejných 12 měsíců předchozího roku"
"772359873","99","6134","CZCOICOP","5642","01","K","9","2000","1999-10-01","2000-09-30","1998-10-01","1999-09-30","Potraviny a nealkoholické nápoje","stejných 12 měsíců předchozího roku"
"772359874","100.5","6134","CZCOICOP","5642","01","K","11","2000","1999-12-01","2000-11-30","1998-12-01","1999-11-30","Potraviny a nealkoholické nápoje","stejných 12 měsíců předchozího roku"
"772359876","103.9","6134","CZCOICOP","5642","01","K","9","2017","2016-10-01","2017-09-30","2015-10-01","2016-09-30","Potraviny a nealkoholické nápoje","stejných 12 měsíců předchozího roku"
"772359877","104.7","6134","CZCOICOP","5642","01","K","10","2017","2016-11-01","2017-10-31","2015-11-01","2016-10-31","Potraviny a nealkoholické nápoje","stejných 12 měsíců předchozího roku"
"772359878","105","6134","CZCOICOP","5642","01","K","11","2017","2016-12-01","2017-11-30","2015-12-01","2016-11-30","Potraviny a nealkoholické nápoje","stejných 12 měsíců předchozího roku"
"772359869","96.3","6134","CZCOICOP","5642","01","K","5","2000","1999-06-01","2000-05-31","1998-06-01","1999-05-31","Potraviny a nealkoholické nápoje","stejných 12 měsíců předchozího roku"
"772359870","96.9","6134","CZCOICOP","5642","01","K","6","2000","1999-07-01","2000-06-30","1998-07-01","1999-06-30","Potraviny a nealkoholické nápoje","stejných 12 měsíců předchozího roku"
"772359871","97.6","6134","CZCOICOP","5642","01","K","7","2000","1999-08-01","2000-07-31","1998-08-01","1999-07-31","Potraviny a nealkoholické nápoje","stejných 12 měsíců předchozího roku"
"772361599","101.7","6134","CZCOICOP","5642","09","K","2","2016","2015-03-01","2016-02-29","2014-03-01","2015-02-28","Rekreace a kultura","stejných 12 měsíců předchozího roku"
"772361600","101.9","6134","CZCOICOP","5642","09","K","3","2016","2015-04-01","2016-03-31","2014-04-01","2015-03-31","Rekreace a kultura","stejných 12 měsíců předchozího roku"
"772362893","102.2","6134","CZCOICOP","5642","10","K","2","2012","2011-03-01","2012-02-29","2010-03-01","2011-02-28","Vzdělávání","stejných 12 měsíců předchozího roku"
"772362894","102.2","6134","CZCOICOP","5642","10","K","3","2012","2011-04-01","2012-03-31","2010-04-01","2011-03-31","Vzdělávání","stejných 12 měsíců předchozího roku"
"772362895","102.2","6134","CZCOICOP","5642","10","K","4","2012","2011-05-01","2012-04-30","2010-05-01","2011-04-30","Vzdělávání","stejných 12 měsíců předchozího roku"
"772362896","102.2","6134","CZCOICOP","5642","10","K","5","2012","2011-06-01","2012-05-31","2010-06-01","2011-05-31","Vzdělávání","stejných 12 měsíců předchozího roku"
"772362897","102.1","6134","CZCOICOP","5642","10","K","6","2012","2011-07-01","2012-06-30","2010-07-01","2011-06-30","Vzdělávání","stejných 12 měsíců předchozího roku"
"772361890","103.5","6134","CZCOICOP","5642","08","K","1","2003","2002-02-01","2003-01-31","2001-02-01","2002-01-31","Pošty a telekomunikace","stejných 12 měsíců předchozího roku"
"772361891","102.5","6134","CZCOICOP","5642","08","K","3","2003","2002-04-01","2003-03-31","2001-04-01","2002-03-31","Pošty a telekomunikace","stejných 12 měsíců předchozího roku"
"772361892","101.9","6134","CZCOICOP","5642","08","K","4","2003","2002-05-01","2003-04-30","2001-05-01","2002-04-30","Pošty a telekomunikace","stejných 12 měsíců předchozího roku"
"772361893","101.5","6134","CZCOICOP","5642","08","K","5","2003","2002-06-01","2003-05-31","2001-06-01","2002-05-31","Pošty a telekomunikace","stejných 12 měsíců předchozího roku"
"772361894","101.1","6134","CZCOICOP","5642","08","K","6","2003","2002-07-01","2003-06-30","2001-07-01","2002-06-30","Pošty a telekomunikace","stejných 12 měsíců předchozího roku"
"772361895","100.4","6134","CZCOICOP","5642","08","K","7","2003","2002-08-01","2003-07-31","2001-08-01","2002-07-31","Pošty a telekomunikace","stejných 12 měsíců předchozího roku"
"772361896","98.6","6134","CZCOICOP","5642","08","K","10","2003","2002-11-01","2003-10-31","2001-11-01","2002-10-31","Pošty a telekomunikace","stejných 12 měsíců předchozího roku"
"772361897","98.2","6134","CZCOICOP","5642","08","K","11","2003","2002-12-01","2003-11-30","2001-12-01","2002-11-30","Pošty a telekomunikace","stejných 12 měsíců předchozího roku"
"772362279","101.4","6134","CZCOICOP","5642","09","K","2","2003","2002-03-01","2003-02-28","2001-03-01","2002-02-28","Rekreace a kultura","stejných 12 měsíců předchozího roku"
"772362280","101.1","6134","CZCOICOP","5642","09","K","3","2003","2002-04-01","2003-03-31","2001-04-01","2002-03-31","Rekreace a kultura","stejných 12 měsíců předchozího roku"
"772362281","100.7","6134","CZCOICOP","5642","09","K","4","2003","2002-05-01","2003-04-30","2001-05-01","2002-04-30","Rekreace a kultura","stejných 12 měsíců předchozího roku"
"772362282","100.5","6134","CZCOICOP","5642","09","K","5","2003","2002-06-01","2003-05-31","2001-06-01","2002-05-31","Rekreace a kultura","stejných 12 měsíců předchozího roku"
"772362283","100.2","6134","CZCOICOP","5642","09","K","6","2003","2002-07-01","2003-06-30","2001-07-01","2002-06-30","Rekreace a kultura","stejných 12 měsíců předchozího roku"
"772362284","100.1","6134","CZCOICOP","5642","09","K","7","2003","2002-08-01","2003-07-31","2001-08-01","2002-07-31","Rekreace a kultura","stejných 12 měsíců předchozího roku"
"772362285","100.1","6134","CZCOICOP","5642","09","K","8","2003","2002-09-01","2003-08-31","2001-09-01","2002-08-31","Rekreace a kultura","stejných 12 měsíců předchozího roku"
"772361535","107.4","6134","CZCOICOP","5642","08","K","11","2000","1999-12-01","2000-11-30","1998-12-01","1999-11-30","Pošty a telekomunikace","stejných 12 měsíců předchozího roku"
"772361537","106.8","6134","CZCOICOP","5642","08","K","1","2001","2000-02-01","2001-01-31","1999-02-01","2000-01-31","Pošty a telekomunikace","stejných 12 měsíců předchozího roku"
"772361538","106.7","6134","CZCOICOP","5642","08","K","2","2001","2000-03-01","2001-02-28","1999-03-01","2000-02-29","Pošty a telekomunikace","stejných 12 měsíců předchozího roku"
"772361539","106.6","6134","CZCOICOP","5642","08","K","3","2001","2000-04-01","2001-03-31","1999-04-01","2000-03-31","Pošty a telekomunikace","stejných 12 měsíců předchozího roku"
"772361540","106.5","6134","CZCOICOP","5642","08","K","4","2001","2000-05-01","2001-04-30","1999-05-01","2000-04-30","Pošty a telekomunikace","stejných 12 měsíců předchozího roku"
"772361541","106.3","6134","CZCOICOP","5642","08","K","5","2001","2000-06-01","2001-05-31","1999-06-01","2000-05-31","Pošty a telekomunikace","stejných 12 měsíců předchozího roku"
"772361542","106.2","6134","CZCOICOP","5642","08","K","6","2001","2000-07-01","2001-06-30","1999-07-01","2000-06-30","Pošty a telekomunikace","stejných 12 měsíců předchozího roku"
